SRR12479080.302
SRR12479080.325
SRR12479080.340
SRR12479080.565
SRR12479080.841
SRR12479080.848
SRR12479080.878
SRR12479080.1143
SRR12479080.1162
SRR12479080.1163
SRR12479080.1164
SRR12479080.1433
SRR12479080.1449
SRR12479080.1616
SRR12479080.1971
SRR12479080.1995
SRR12479080.2248
SRR12479080.2290
SRR12479080.2306
SRR12479080.2607
SRR12479080.2617
SRR12479080.2626
SRR12479080.2635
SRR12479080.3429
SRR12479080.3430
SRR12479080.3794
SRR12479080.3839
SRR12479080.4219
SRR12479080.4421
SRR12479080.4439
SRR12479080.4454
SRR12479080.4718
SRR12479080.4978
SRR12479080.4980
SRR12479080.4984
SRR12479080.5183
SRR12479080.5187
SRR12479080.5201
SRR12479080.5233
SRR12479080.5680
SRR12479080.5699
SRR12479080.6454
SRR12479080.6475
SRR12479080.7012
SRR12479080.7021
SRR12479080.7302
SRR12479080.7307
SRR12479080.7317
SRR12479080.7324
SRR12479080.7714
SRR12479080.8342
SRR12479080.8347
SRR12479080.8351
SRR12479080.8370
SRR12479080.8400
SRR12479080.9274
SRR12479080.10127
SRR12479080.10137
SRR12479080.10138
SRR12479080.10140
SRR12479080.11010
SRR12479080.11014
SRR12479080.11029
SRR12479080.11044
SRR12479080.11489
SRR12479080.11537
SRR12479080.11542
SRR12479080.11981
SRR12479080.11987
SRR12479080.12202
SRR12479080.2737
SRR12479080.2764
SRR12479080.3053
SRR12479080.3723
SRR12479080.3765
SRR12479080.3778
SRR12479080.4483
SRR12479080.4495
SRR12479080.4504
SRR12479080.4885
SRR12479080.5083
SRR12479080.5554
SRR12479080.5576
SRR12479080.6339
SRR12479080.6882
SRR12479080.6889
SRR12479080.6899
SRR12479080.6921
SRR12479080.7518
SRR12479080.7521
SRR12479080.7864
SRR12479080.7894
SRR12479080.8052
SRR12479080.8072
SRR12479080.8085
SRR12479080.8101
SRR12479080.8771
SRR12479080.8781
SRR12479080.9113
SRR12479080.9145
SRR12479080.9893
SRR12479080.10253
SRR12479080.10272
SRR12479080.10579
SRR12479080.10598
SRR12479080.10599
SRR12479080.10616
SRR12479080.10637
SRR12479080.11143
SRR12479080.11184
SRR12479080.11200
SRR12479080.11571
SRR12479080.11580
SRR12479080.11610
SRR12479080.11928
SRR12479080.11929
SRR12479080.11946
SRR12479080.12715
SRR12479080.12724
SRR12479080.12736
SRR12479080.13125
SRR12479080.13529
SRR12479080.13564
SRR12479080.13793
SRR12479080.13809
SRR12479080.13828
SRR12479080.13830
SRR12479080.13839
SRR12479080.13848
SRR12479080.13852
SRR12479080.14093
SRR12479080.14106
SRR12479080.15158
SRR12479080.15161
SRR12479080.15188
SRR12479080.15547
SRR12479080.15548
SRR12479080.15587
SRR12479080.15588
SRR12479080.15596
SRR12479080.679
SRR12479080.971
SRR12479080.1300
SRR12479080.1328
SRR12479080.1544
SRR12479080.1609
SRR12479080.1830
SRR12479080.1844
SRR12479080.2172
SRR12479080.2515
SRR12479080.2926
SRR12479080.3518
SRR12479080.3519
SRR12479080.3520
SRR12479080.3537
SRR12479080.4125
SRR12479080.5276
SRR12479080.5277
SRR12479080.5613
SRR12479080.5655
SRR12479080.6672
SRR12479080.7174
SRR12479080.7194
SRR12479080.7208
SRR12479080.7678
SRR12479080.8193
SRR12479080.8219
SRR12479080.9205
SRR12479080.9218
SRR12479080.9473
SRR12479080.9474
SRR12479080.9486
SRR12479080.9500
SRR12479080.9516
SRR12479080.10443
SRR12479080.10479
SRR12479080.10834
SRR12479080.10838
SRR12479080.11078
SRR12479080.11079
SRR12479080.11126
SRR12479080.11621
SRR12479080.12049
SRR12479080.12094
SRR12479080.12108
SRR12479080.12110
SRR12479080.12451
SRR12479080.12456
SRR12479080.12627
SRR12479080.12651
SRR12479080.12843
SRR12479080.12848
SRR12479080.12860
SRR12479080.12865
SRR12479080.13188
SRR12479080.13194
SRR12479080.14514
SRR12479080.14916
SRR12479080.15615
SRR12479080.15627
SRR12479080.15628
SRR12479080.15983
SRR12479080.16009
SRR12479080.16501
SRR12479080.16502
SRR12479080.16506
SRR12479080.16511
SRR12479080.17042
SRR12479080.17073
SRR12479080.17591
SRR12479080.18
SRR12479080.29
SRR12479080.46
SRR12479080.70
SRR12479080.703
SRR12479080.704
SRR12479080.714
SRR12479080.726
SRR12479080.757
SRR12479080.993
SRR12479080.1217
SRR12479080.1224
SRR12479080.1232
SRR12479080.1513
SRR12479080.1751
SRR12479080.1783
SRR12479080.1931
SRR12479080.1951
SRR12479080.2101
SRR12479080.2117
SRR12479080.2347
SRR12479080.2547
SRR12479080.2560
SRR12479080.2823
SRR12479080.3174
SRR12479080.3933
SRR12479080.3937
SRR12479080.3972
SRR12479080.3975
SRR12479080.3987
SRR12479080.5461
SRR12479080.5472
SRR12479080.5893
SRR12479080.5914
SRR12479080.6248
SRR12479080.6258
SRR12479080.6287
SRR12479080.6729
SRR12479080.6767
